value,acciona,raft,error_raft,raft_flex_tower,error_raft_flex_tower,weis,error_weis
platform_mass_kg,26638000.0,26637999.999999993,2.796974471403194e-14,26638000.0,0.0,26091118.015,2.0530144342668346
platform_cgz_m,-9.63,-9.621190705007882,0.0914776219327001,-9.636665056921293,0.069211390667627,-9.335696404088514,3.056112107076704
platform_inertia_xyz_1e9,"[7.978, 7.978, 10.836]","[ 8.0191799, 8.0191799,10.836    ]",0.3722795870702506,"[ 7.97897521, 7.97897521,10.83603192]",0.0088185741411471,"[ 7.77132157, 7.77132157,10.64895816]",2.218258286329033
tower_mass_t,1263.0,1241.9505404510742,1.6666238756077454,1249.9485689857856,1.033367459557748,1334.9251589227902,5.694786929753773
vol_disp_water_m3,53981.0,53694.96,0.529890146533041,53694.96,0.529890146533041,53694.96,0.529890146533041
pretension_fairleads_kN,32382.0,33267.402930099066,2.7342441174080228,33267.402930099066,2.7342441174080228,30970.130823278396,4.360043162008536
NP_surge,53.31,49.33626775753546,7.454009083595089,49.34282013812345,7.441717992640314,49.46784845403126,7.207187293132132
NP_sway,53.31,50.21108450492166,5.813009745035348,50.21534754539452,5.805013045592722,50.34527455431937,5.561293276459642
NP_heave,1.90,2.02937488857397,6.80920466178791,2.0296059139859874,6.821363893999344,2.04894965866323,7.839455719117377
NP_roll,3.89,2.2192318001903653,42.950339326725825,2.2299461506297504,42.67490615347685,2.453241087116247,36.93467642374687
NP_pitch,3.96,2.2236722945124887,43.84665922948261,2.2259178696269633,43.7899527871979,2.455406745360849,37.99477915755431
NP_yaw,24.32,22.91618961954271,5.7722466301697795,22.91205414021507,5.789251068194617,23.02646414237779,5.3188152040386925
